,pid1,pid2,cnt,throughput_avg,throughput_std,total_bytes,total_timespent,city1,city2,fips_code1,fips_code2,continent_code1,continent_code2,isp1,isp2,min_ts,max_ts,cnt_neighbour
4414,5e91108b-eeed-476c-8523-2cde38b91d6d,488f88ea-ecb5-47b6-9d2f-35693f1e7670,115,362.79951257068,133.3371645575433,137824680,415798,Lahti,Marcinelle,FI,BE,Northern Europe,Western Europe,DNA Oyj,VOO,2020-07-03 12:13:13.797000+00:00,2020-07-03 13:02:05.230000+00:00,18
2146,3159ceb4-341f-4137-bc09-419b3e90ef13,8206c0c9-d26e-4336-ae83-ef166e440067,39,973.8784910897696,463.1354333941592,50525000,68061,Saint-Ouen,Asnieres-sur-Seine,FR,FR,Western Europe,Western Europe,Bouygues Telecom,Free SAS,2020-07-03 21:13:17.138000+00:00,2020-07-03 21:28:53.395000+00:00,13
8712,bf1990cf-bb9d-49cd-8e52-e600534ab9e5,1605393e-96e4-4dbc-bf86-d0e76c598768,3,288.9712276589677,111.90928723914477,2717352,10572,Kenitra,Münster,MO,GM,Northern Africa,Western Europe,Maroc Telecom ADSL,Deutsches Forschungsnetz,2020-07-03 22:21:06.205000+00:00,2020-07-03 22:21:32.391000+00:00,15
2454,38604a62-359e-431b-9bdf-26b0e08091f4,87eff487-4bb4-438e-85d4-c2671187cfc1,49,490.4969601128242,147.815468363003,63300728,141425,Fes,Geneva,MO,SZ,Northern Africa,Western Europe,Maroc Telecom ADSL,K-SYS SA,2020-07-03 23:23:09.412000+00:00,2020-07-03 23:42:40.029000+00:00,7
4280,5bed9f8b-3f9c-457b-bc3e-5fb2c71a8546,bcbe456b-a192-43d8-b6b7-f3d8935d4d45,3,92.06110797847025,19.379297662979965,1324648,14850,Casablanca,Heidelberg,MO,GM,Northern Africa,Western Europe,Maroc Telecom,Deutsche Telekom AG,2020-07-03 07:04:31.146000+00:00,2020-07-03 07:04:50.353000+00:00,8
6630,93323b8e-a61d-4c5e-9b39-affa6d842a3c,73ff9d34-46f1-4132-93be-d29729843208,2,156.66194999531433,16.055900375453966,891120,5721,Laayoune,Libramont,MO,BE,Northern Africa,Western Europe,Maroc Telecom,Scarlet Belgium,2020-07-03 18:12:42.296000+00:00,2020-07-03 18:12:47.514000+00:00,25
5794,80a57bfc-1426-4bf2-8bd2-5d9ec44ba9cd,d4aba91f-b3f5-4bca-a1a9-d8ef6567dea4,7,227.87022269770654,12.317400293476748,8900296,39107,Paris,Paris,FR,FR,Western Europe,Western Europe,Free SAS,Orange,2020-07-03 20:28:04.597000+00:00,2020-07-03 20:51:04.994000+00:00,10
10188,e0cf0f20-75b5-46df-8761-dfd49353f684,1f2ccf3b-2b6a-42cd-90af-9e7e78d9e26b,8,426.13370725727657,103.37344929195929,10242240,25129,Monsummano Terme,Oslo,IT,NO,Southern Europe,Northern Europe,Telecom Italia,Blix Solutions,2020-07-03 18:26:34.178000+00:00,2020-07-03 18:31:01.683000+00:00,6
8266,b429f9d8-0105-4842-a17c-6a9aa27544ff,07614fa9-0eb3-4e9f-aef6-8a272b746f4a,8,357.53520400137336,70.2042856545206,10209152,29833,Bremen,Orsay,GM,FR,Western Europe,Western Europe,Vodafone DSL,Wifirst S.A.S.,2020-07-03 23:15:33.608000+00:00,2020-07-03 23:24:15.046000+00:00,17
3990,5672aceb-dc8b-4bf7-967f-3c1591124977,97bf924e-b9af-4e48-8987-a5e901ecc93a,102,247.19409507259553,38.45014574780393,131797776,545468,Khouribga,Beyne-Heusay,MO,BE,Northern Africa,Western Europe,Orange Morocco,Orange Belgium,2020-07-03 20:25:41.434000+00:00,2020-07-03 22:37:14.907000+00:00,11
